"","id10","year","catch"
"1","LUTJVI",1994,432.281133321
"2","LUTJVI",1995,440.900116021
"3","LUTJVI",1996,130.182738986
"4","LUTJVI",1997,215.460568011
"5","LUTJVI",1998,1011.978971058
"6","LUTJVI",1999,1275.062443551
"7","LUTJVI",2000,717.59456123
"8","LUTJVI",2001,827.821340243
"9","LUTJVI",2002,227.710543447
"10","LUTJVI",2003,139.707719883
"11","LUTJVI",2004,347.455303374
"12","LUTJVI",2005,164.656669871
"13","LUTJVI",2006,91.626816295
"14","LUTJVI",2007,564.730867722
"15","LUTJVI",2008,1074.124846444
"16","LUTJVI",2009,535.473926393
"17","LUTJVI",2010,924.207146982
"18","LUTJVI",2011,571.081855006
"19","LUTJVI",2012,1242.403509011
"20","LUTJVI",2013,347.451472
"21","LUTJVI",2014,952.996792
"22","LUTJVI",2015,230.878328
