"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag","Assessments.a."
"1","Doctorfish","All","LBAR",2015,"LBAR",217,"1.55338735056845",1.2589895144223,1.92117863126533,0.14628416521086,"FvM","None",NA
"2","Doctorfish","All",NA,1994,"CatchMSY",1316.341361,"1.47830775174754",1.03350075888367,2.57376787592409,0.30664665735754,"Catch/MSY",NA,"LBAR"
"3","Doctorfish","All",NA,1995,"CatchMSY",348.8153006,"0.391734528810517",0.273865798463152,0.682018845501493,0.30664665735754,"Catch/MSY",NA,"LBAR"
"4","Doctorfish","All",NA,1996,"CatchMSY",233.1455326,"0.261832423062402",0.183049847107583,0.455856284699005,0.30664665735754,"Catch/MSY",NA,"LBAR"
"5","Doctorfish","All",NA,1997,"CatchMSY",454.2830892,"0.510179374552207",0.356671856819532,0.888234052503131,0.30664665735754,"Catch/MSY",NA,"LBAR"
"6","Doctorfish","All",NA,1998,"CatchMSY",785.6464248,"0.882314598875986",0.616835571912904,1.53613005706113,0.30664665735754,"Catch/MSY",NA,"LBAR"
"7","Doctorfish","All",NA,1999,"CatchMSY",1063.221868,"1.19404371530031",0.834768730965765,2.07885763519544,0.30664665735754,"Catch/MSY",NA,"LBAR"
"8","Doctorfish","All",NA,2000,"CatchMSY",1033.299928,"1.16044009456798",0.811276080340718,2.0203529568202,0.30664665735754,"Catch/MSY",NA,"LBAR"
"9","Doctorfish","All",NA,2001,"CatchMSY",1619.799752,"1.81910452759856",1.27175542950336,3.16710291923085,0.30664665735754,"Catch/MSY",NA,"LBAR"
"10","Doctorfish","All",NA,2002,"CatchMSY",1436.089121,"1.61278961724778",1.12751846925981,2.8079039040344,0.30664665735754,"Catch/MSY",NA,"LBAR"
"11","Doctorfish","All",NA,2003,"CatchMSY",1516.833959,"1.7034695301226",1.19091376611923,2.96577972283662,0.30664665735754,"Catch/MSY",NA,"LBAR"
"12","Doctorfish","All",NA,2004,"CatchMSY",1523.178946,"1.71059522239722",1.19589541379353,2.9781857173587,0.30664665735754,"Catch/MSY",NA,"LBAR"
"13","Doctorfish","All",NA,2005,"CatchMSY",2450.801086,"2.75235463289913",1.92420055868315,4.79191286721763,0.30664665735754,"Catch/MSY",NA,"LBAR"
"14","Doctorfish","All",NA,2006,"CatchMSY",2106.060777,"2.36519649426298",1.65353416353271,4.1178616225114,0.30664665735754,"Catch/MSY",NA,"LBAR"
"15","Doctorfish","All",NA,2007,"CatchMSY",1286.408421,"1.44469177754388",1.0099994718147,2.51524168987047,0.30664665735754,"Catch/MSY",NA,"LBAR"
"16","Doctorfish","All",NA,2008,"CatchMSY",1242.408509,"1.39527799103458",0.975453765214504,2.42921114839826,0.30664665735754,"Catch/MSY",NA,"LBAR"
"17","Doctorfish","All",NA,2009,"CatchMSY",589.6828177,"0.66223907134241",0.462978417035103,1.15297349011938,0.30664665735754,"Catch/MSY",NA,"LBAR"
"18","Doctorfish","All",NA,2010,"CatchMSY",518.9209596,"0.582770472651702",0.407421069820235,1.01461682777146,0.30664665735754,"Catch/MSY",NA,"LBAR"
"19","Doctorfish","All",NA,2011,"CatchMSY",1063.244868,"1.19406954528583",0.834786788984876,2.07890260579569,0.30664665735754,"Catch/MSY",NA,"LBAR"
"20","Doctorfish","All",NA,2012,"CatchMSY",836.8953221,"0.939869306485834",0.657072683516891,1.63633412984592,0.30664665735754,"Catch/MSY",NA,"LBAR"
"21","Doctorfish","All",NA,2013,"CatchMSY",393.264264,"0.441652619283223",0.308764069357409,0.768927391799953,0.30664665735754,"Catch/MSY",NA,"LBAR"
"22","Doctorfish","All",NA,2014,"CatchMSY",788.342896,"0.88534285157352",0.618952655759142,1.54140231481928,0.30664665735754,"Catch/MSY",NA,"LBAR"
"23","Doctorfish","All",NA,2015,"CatchMSY",1134.887184,"1.2745269359246",0.891035411225186,2.21898077772028,0.30664665735754,"Catch/MSY",NA,"LBAR"
"24","Doctorfish","All","LBAR",1994,"CatchMSY",1316.341361,"1.47830775174754",1.03350075888367,2.57376787592409,0.30664665735754,"Catch/MSY",NA,NA
"25","Doctorfish","All","LBAR",1995,"CatchMSY",348.8153006,"0.391734528810517",0.273865798463152,0.682018845501493,0.30664665735754,"Catch/MSY",NA,NA
"26","Doctorfish","All","LBAR",1996,"CatchMSY",233.1455326,"0.261832423062402",0.183049847107583,0.455856284699005,0.30664665735754,"Catch/MSY",NA,NA
"27","Doctorfish","All","LBAR",1997,"CatchMSY",454.2830892,"0.510179374552207",0.356671856819532,0.888234052503131,0.30664665735754,"Catch/MSY",NA,NA
"28","Doctorfish","All","LBAR",1998,"CatchMSY",785.6464248,"0.882314598875986",0.616835571912904,1.53613005706113,0.30664665735754,"Catch/MSY",NA,NA
"29","Doctorfish","All","LBAR",1999,"CatchMSY",1063.221868,"1.19404371530031",0.834768730965765,2.07885763519544,0.30664665735754,"Catch/MSY",NA,NA
