"","matrix.0..nrow...length.allspecies..","Species","Linf","k","M","LBAR","Z","F","n","Fcurr"
"1",0,"ACANCH",24.95,0.705,0.230440944,19.3076923076923,1.4167602739726,1.1863193299726,38,5.14804057551769
"2",0,"ACANCO",23.1,0.42,0.187233267,19.3387096774194,1.88353846153846,1.69630519453846,60,9.05984936180417
"3",0,"BALIVE",41.5,0.3,0.42796,31.1071428571429,0.864356435643565,0.436396435643565,35,1.01971314058222
"4",0,"CARARU",59.27,0.14,0.149786614,27.625,1.22215172413793,1.07236511013793,8,7.15928534266708
"5",0,"HOLOAD",26.5,1.18,0.356634794,23.125,1.51714285714286,1.16050806314286,53,3.25405171527615
"6",0,"LUTJMA",58.89,0.097,0.3,24.6315789473684,0.647572,0.347572,23,1.15857333333334
"7",0,"LUTJSY",45.49,0.27,0.245551826,28.2647058823529,2.05361298701299,1.80806116101299,36,7.36325683447773
"8",0,"LUTJVI",74.07,0.1,0.332859142,28.1,1.48290322580645,1.15004408380645,20,3.45504731189402
"9",0,"PTERVO",42.5,0.47,0.299573227,32.2857142857143,1.12016666666667,0.820593439666667,8,2.73920819922492
"10",0,"SCARCH",23.75,0.71,0.427961753,23,Inf,Inf,4,Inf
"11",0,"SERRFU",37.7,0.2,0.15767012,25.875,2.70285714285714,2.54518702285714,18,16.1424816753938
"12",0,"SERRGU",55.775,0.0859,0.171184701,32.5576086956522,0.437592177438588,0.266407476438588,108,1.55625750947561
